[[0, 1, 0], 6, 7, 0.0]
[[0, 1, 0], 7, 7, 0.278]
[[0, 1, 0], 8, 8, 0.3824999007887808]
[[0, 1, 0], 9, 8, -0.18099925211128728]
[[0, 1, 0], 10, 8, -0.0]
[[0, 1, 0], 8, 9, -0.18099925211128728]
[[0, 1, 0], 9, 9, 0.591500099211219]
[[0, 1, 0], 10, 9, 0.0]
[[0, 1, 0], 8, 10, -0.0]
[[0, 1, 0], 9, 10, 0.0]
[[0, 1, 0], 10, 10, 0.278]
[[0, 1, 0], 11, 11, -0.5647499999999998]
[[0, 1, 0], 12, 11, -0.0]
[[0, 1, 0], 13, 11, 0.0]
[[0, 1, 0], 14, 11, -0.10630471923904489]
[[0, 1, 0], 15, 11, -0.18412494173117283]
[[0, 1, 0], 11, 12, -0.0]
[[0, 1, 0], 12, 12, -0.45099999145549297]
[[0, 1, 0], 13, 12, 0.015588452334943395]
[[0, 1, 0], 14, 12, -0.0]
[[0, 1, 0], 15, 12, -0.0]
[[0, 1, 0], 11, 13, 0.0]
[[0, 1, 0], 12, 13, 0.015588452334943395]
[[0, 1, 0], 13, 13, -0.4690000085445068]
[[0, 1, 0], 14, 13, 0.0]
[[0, 1, 0], 15, 13, 0.0]
[[0, 1, 0], 11, 14, -0.10630471923904489]
[[0, 1, 0], 12, 14, -0.0]
[[0, 1, 0], 13, 14, 0.0]
[[0, 1, 0], 14, 14, -0.5610626577174315]
[[0, 1, 0], 15, 14, -0.14386856126177622]
[[0, 1, 0], 11, 15, -0.18412494173117283]
[[0, 1, 0], 12, 15, -0.0]
[[0, 1, 0], 13, 15, 0.0]
[[0, 1, 0], 14, 15, -0.14386856126177622]
[[0, 1, 0], 15, 15, -0.7271873422825682]
[[0, 1, 0], 16, 16, 0.3824999007887808]
[[0, 1, 0], 17, 16, -0.18099925211128728]
[[0, 1, 0], 18, 16, -0.0]
[[0, 1, 0], 16, 17, -0.18099925211128728]
[[0, 1, 0], 17, 17, 0.591500099211219]
[[0, 1, 0], 18, 17, 0.0]
[[0, 1, 0], 16, 18, -0.0]
[[0, 1, 0], 17, 18, 0.0]
[[0, 1, 0], 18, 18, 0.278]
[[0, 1, 0], 19, 19, 0.3824999007887808]
[[0, 1, 0], 20, 19, -0.18099925211128728]
[[0, 1, 0], 21, 19, -0.0]
[[0, 1, 0], 19, 20, -0.18099925211128728]
[[0, 1, 0], 20, 20, 0.591500099211219]
[[0, 1, 0], 21, 20, 0.0]
[[0, 1, 0], 19, 21, -0.0]
[[0, 1, 0], 20, 21, 0.0]
[[0, 1, 0], 21, 21, 0.278]
